Year,Month,Fund ID,Department ID,Fund Name,Department Name,Amount
2008,12,1,10,General,Adm/Executive,5400.03
2012,12,1,10,General,Adm/Executive,42701.2
2011,12,1,10,General,Adm/Executive,98091.56
2010,12,1,10,General,Adm/Executive,11787.33
2009,12,1,10,General,Adm/Executive,1000
2008,12,1,10,General,Adm/Executive,6350
2012,12,1,10,General,Adm/Executive,4355.43
2011,12,1,10,General,Adm/Executive,5334.09
2010,12,1,10,General,Adm/Executive,6542.58
2009,12,1,10,General,Adm/Executive,8890.98
2008,12,1,10,General,Adm/Executive,4497.07
2012,12,1,10,General,Adm/Executive,1496.7
2011,12,1,10,General,Adm/Executive,1938.25
2010,12,1,10,General,Adm/Executive,2560
2009,12,1,10,General,Adm/Executive,2410
2008,12,1,10,General,Adm/Executive,3475.58
2012,12,1,10,General,Adm/Executive,4290.23
2011,12,1,10,General,Adm/Executive,2570.61
2010,12,1,10,General,Adm/Executive,2615.15
2009,12,1,10,General,Adm/Executive,3080.97
2008,12,1,10,General,Adm/Executive,2268.86
2012,12,1,10,General,Adm/Executive,200.25
2011,12,1,10,General,Adm/Executive,482.8
2010,12,1,10,General,Adm/Executive,380
2009,12,1,10,General,Adm/Executive,380
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,51000
2011,12,1,10,General,Adm/Executive,51000
2010,12,1,10,General,Adm/Executive,50000
2009,12,1,10,General,Adm/Executive,50000
2008,12,1,10,General,Adm/Executive,40500
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,1390.7
2010,12,1,10,General,Adm/Executive,12000
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,1524.55
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,8130.75
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,201.22
2009,12,1,10,General,Adm/Executive,817.85
2008,12,1,10,General,Adm/Executive,1166.28
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,65
2010,12,1,10,General,Adm/Executive,260
2009,12,1,10,General,Adm/Executive,65
2008,12,1,10,General,Adm/Executive,130
2012,12,1,10,General,Adm/Executive,750
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,468.99
2009,12,1,10,General,Adm/Executive,1020.81
2008,12,1,10,General,Adm/Executive,255.53
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,9000
2011,12,1,10,General,Adm/Executive,22250
2010,12,1,10,General,Adm/Executive,19508.15
2009,12,1,10,General,Adm/Executive,25000
2008,12,1,10,General,Adm/Executive,34200
2012,12,1,10,General,Adm/Executive,15000
2011,12,1,10,General,Adm/Executive,15000
2010,12,1,10,General,Adm/Executive,15000
2009,12,1,10,General,Adm/Executive,15000
2008,12,1,10,General,Adm/Executive,22500
2012,12,1,10,General,Adm/Executive,1568
2011,12,1,10,General,Adm/Executive,3725.38
2010,12,1,10,General,Adm/Executive,3534
2009,12,1,10,General,Adm/Executive,2039
2008,12,1,10,General,Adm/Executive,3430.73
2012,12,1,10,General,Adm/Executive,10749.99
2011,12,1,10,General,Adm/Executive,30704.73
2010,12,1,10,General,Adm/Executive,31054.7
2009,12,1,10,General,Adm/Executive,30921.14
2008,12,1,10,General,Adm/Executive,43596.49
2012,12,1,10,General,Adm/Executive,4215.5
2011,12,1,10,General,Adm/Executive,19205
2010,12,1,10,General,Adm/Executive,4200
2012,12,1,10,General,Adm/Executive,3425.38
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,1195
2012,12,1,10,General,Adm/Executive,600
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,6752.95
2011,12,1,10,General,Adm/Executive,4133.36
2010,12,1,10,General,Adm/Executive,3816
2009,12,1,10,General,Adm/Executive,3599.11
2008,12,1,10,General,Adm/Executive,3282.7
2012,12,1,10,General,Adm/Executive,239.71
2011,12,1,10,General,Adm/Executive,95
2010,12,1,10,General,Adm/Executive,2987.34
2009,12,1,10,General,Adm/Executive,2631.61
2008,12,1,10,General,Adm/Executive,7273.07
2012,12,1,10,General,Adm/Executive,45301.42
2011,12,1,10,General,Adm/Executive,57434
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,-35445
2008,12,1,10,General,Adm/Executive,-35445
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,146412.01
2011,12,1,10,General,Adm/Executive,167788.53
2010,12,1,10,General,Adm/Executive,192156.67
2009,12,1,10,General,Adm/Executive,163682.44
2008,12,1,10,General,Adm/Executive,171578.58
2012,12,1,10,General,Adm/Executive,835.81
2011,12,1,10,General,Adm/Executive,627.01
2010,12,1,10,General,Adm/Executive,966.07
2009,12,1,10,General,Adm/Executive,632.89
2008,12,1,10,General,Adm/Executive,21947.51
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,405.58
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,4054.75
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,69.96
2012,12,1,10,General,Adm/Executive,2940.43
2011,12,1,10,General,Adm/Executive,4057.37
2010,12,1,10,General,Adm/Executive,3441.65
2009,12,1,10,General,Adm/Executive,2944.2
2008,12,1,10,General,Adm/Executive,3594
2012,12,1,10,General,Adm/Executive,1840
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,11790
2011,12,1,10,General,Adm/Executive,1195
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,865
2008,12,1,10,General,Adm/Executive,990
2012,12,1,10,General,Adm/Executive,7247.25
2011,12,1,10,General,Adm/Executive,29360.04
2010,12,1,10,General,Adm/Executive,7043.75
2009,12,1,10,General,Adm/Executive,35068.97
2008,12,1,10,General,Adm/Executive,6372.46
2012,12,1,10,General,Adm/Executive,77536.65
2011,12,1,10,General,Adm/Executive,126755.6
2010,12,1,10,General,Adm/Executive,123350.74
2009,12,1,10,General,Adm/Executive,106641.67
2008,12,1,10,General,Adm/Executive,142077.08
2012,12,1,10,General,Adm/Executive,3202.8
2011,12,1,10,General,Adm/Executive,5228.1
2010,12,1,10,General,Adm/Executive,6740.01
2009,12,1,10,General,Adm/Executive,10377.33
2012,12,1,10,General,Adm/Executive,2637.78
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,22631.65
2011,12,1,10,General,Adm/Executive,21045.5
2010,12,1,10,General,Adm/Executive,24746.55
2009,12,1,10,General,Adm/Executive,24435.51
2008,12,1,10,General,Adm/Executive,21768.16
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,469
2010,12,1,10,General,Adm/Executive,699
2009,12,1,10,General,Adm/Executive,50
2008,12,1,10,General,Adm/Executive,425
2012,12,1,10,General,Adm/Executive,513.22
2011,12,1,10,General,Adm/Executive,254.59
2010,12,1,10,General,Adm/Executive,494.9
2009,12,1,10,General,Adm/Executive,89
2008,12,1,10,General,Adm/Executive,399.38
2012,12,1,10,General,Adm/Executive,3745.6
2011,12,1,10,General,Adm/Executive,3672
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,4000
2008,12,1,10,General,Adm/Executive,3500
2012,12,1,10,General,Adm/Executive,203356.3
2011,12,1,10,General,Adm/Executive,189857.44
2010,12,1,10,General,Adm/Executive,188008.75
2009,12,1,10,General,Adm/Executive,190037.5
2008,12,1,10,General,Adm/Executive,123750
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,1326.26
2010,12,1,10,General,Adm/Executive,663.13
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,-5950
2008,12,1,10,General,Adm/Executive,-5950
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,98182.12
2011,12,1,10,General,Adm/Executive,96402.28
2010,12,1,10,General,Adm/Executive,95457.18
2009,12,1,10,General,Adm/Executive,92650
2008,12,1,10,General,Adm/Executive,126515.92
2012,12,1,10,General,Adm/Executive,2777.36
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,677
2011,12,1,10,General,Adm/Executive,302
2010,12,1,10,General,Adm/Executive,552
2009,12,1,10,General,Adm/Executive,505
2008,12,1,10,General,Adm/Executive,765
2012,12,1,10,General,Adm/Executive,1643.1
2011,12,1,10,General,Adm/Executive,2087.85
2010,12,1,10,General,Adm/Executive,1551.24
2009,12,1,10,General,Adm/Executive,2061.55
2008,12,1,10,General,Adm/Executive,788.38
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,30
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,9080
2010,12,1,10,General,Adm/Executive,2400
2009,12,1,10,General,Adm/Executive,18680.68
2008,12,1,10,General,Adm/Executive,5275
2012,12,1,10,General,Adm/Executive,349
2011,12,1,10,General,Adm/Executive,50
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,326
2008,12,1,10,General,Adm/Executive,1000
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,176.4
2011,12,1,10,General,Adm/Executive,909.3
2010,12,1,10,General,Adm/Executive,684
2009,12,1,10,General,Adm/Executive,771
2008,12,1,10,General,Adm/Executive,1000
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,132864.01
2011,12,1,10,General,Adm/Executive,145960.61
2010,12,1,10,General,Adm/Executive,136734.15
2009,12,1,10,General,Adm/Executive,145841.14
2008,12,1,10,General,Adm/Executive,157275.75
2012,12,1,10,General,Adm/Executive,3209.62
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,3983.82
2011,12,1,10,General,Adm/Executive,765
2010,12,1,10,General,Adm/Executive,709
2009,12,1,10,General,Adm/Executive,656
2008,12,1,10,General,Adm/Executive,1212.02
2012,12,1,10,General,Adm/Executive,3780
2011,12,1,10,General,Adm/Executive,3430
2010,12,1,10,General,Adm/Executive,3335
2009,12,1,10,General,Adm/Executive,4035
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,160
2011,12,1,10,General,Adm/Executive,75
2010,12,1,10,General,Adm/Executive,155
2009,12,1,10,General,Adm/Executive,155
2008,12,1,10,General,Adm/Executive,155
2012,12,1,10,General,Adm/Executive,756
2011,12,1,10,General,Adm/Executive,880.2
2010,12,1,10,General,Adm/Executive,53.5
2009,12,1,10,General,Adm/Executive,747.9
2008,12,1,10,General,Adm/Executive,729
2012,12,1,10,General,Adm/Executive,3223.93
2011,12,1,10,General,Adm/Executive,6484.12
2010,12,1,10,General,Adm/Executive,6276.19
2009,12,1,10,General,Adm/Executive,4698.82
2008,12,1,10,General,Adm/Executive,6399.02
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,2313
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,-1620
2008,12,1,10,General,Adm/Executive,-1620
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,-516.03
2011,12,1,10,General,Adm/Executive,23924.97
2010,12,1,10,General,Adm/Executive,23690.42
2009,12,1,10,General,Adm/Executive,23471.83
2008,12,1,10,General,Adm/Executive,23474.44
2012,12,1,10,General,Adm/Executive,516.03
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,222803.37
2011,12,1,10,General,Adm/Executive,390070.38
2010,12,1,10,General,Adm/Executive,600744.34
2009,12,1,10,General,Adm/Executive,231619.72
2008,12,1,10,General,Adm/Executive,140612.91
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,25716
2010,12,1,10,General,Adm/Executive,26565
2009,12,1,10,General,Adm/Executive,25810
2008,12,1,10,General,Adm/Executive,29500
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,-4425
2012,12,1,10,General,Adm/Executive,2689.35
2011,12,1,10,General,Adm/Executive,1499.15
2010,12,1,10,General,Adm/Executive,1639.7
2012,12,1,10,General,Adm/Executive,26522.42
2011,12,1,10,General,Adm/Executive,31325.88
2010,12,1,10,General,Adm/Executive,28123.04
2012,12,1,11,General,Engineering,181980.9
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,45449.76
2009,12,1,11,General,Engineering,38059.14
2008,12,1,11,General,Engineering,24206.32
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,1527.35
2009,12,1,11,General,Engineering,3145.65
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,192.21
2012,12,1,11,General,Engineering,765.64
2011,12,1,11,General,Engineering,545.94
2010,12,1,11,General,Engineering,1369.2
2009,12,1,11,General,Engineering,873.05
2008,12,1,11,General,Engineering,977.83
2012,12,1,11,General,Engineering,2400
2011,12,1,11,General,Engineering,2400
2010,12,1,11,General,Engineering,2400
2009,12,1,11,General,Engineering,2400
2008,12,1,11,General,Engineering,3400
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,55
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,2475
2012,12,1,11,General,Engineering,1337
2011,12,1,11,General,Engineering,139
2010,12,1,11,General,Engineering,717
2009,12,1,11,General,Engineering,476
2008,12,1,11,General,Engineering,575
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,42131.25
2010,12,1,11,General,Engineering,7600
2009,12,1,11,General,Engineering,9097.5
2008,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,3247.5
2008,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,4592.5
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,4021.25
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,29883.93
2008,12,1,11,General,Engineering,20052.63
2009,12,1,11,General,Engineering,21791.8
2008,12,1,11,General,Engineering,17748
2012,12,1,11,General,Engineering,57.81
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,25
2012,12,1,11,General,Engineering,3687.5
2011,12,1,11,General,Engineering,2250
2010,12,1,11,General,Engineering,1500
2009,12,1,11,General,Engineering,1250
2008,12,1,11,General,Engineering,3700
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,180
2009,12,1,11,General,Engineering,161
2008,12,1,11,General,Engineering,181.5
2012,12,1,11,General,Engineering,150
2011,12,1,11,General,Engineering,250
2010,12,1,11,General,Engineering,95
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,7811.25
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,178
2008,12,1,11,General,Engineering,141
2012,12,1,11,General,Engineering,58.5
2011,12,1,11,General,Engineering,138.6
2010,12,1,11,General,Engineering,170.55
2009,12,1,11,General,Engineering,12.15
2008,12,1,11,General,Engineering,300.29
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,3230.79
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,137063.54
2011,12,1,11,General,Engineering,227482.92
2010,12,1,11,General,Engineering,247913.45
2009,12,1,11,General,Engineering,274903.15
2008,12,1,11,General,Engineering,355578.51
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,155.89
2009,12,1,11,General,Engineering,57.61
2012,12,1,11,General,Engineering,67243.77
2011,12,1,11,General,Engineering,56878.76
2010,12,1,11,General,Engineering,57671.72
2009,12,1,11,General,Engineering,57879.08
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,455
2010,12,1,11,General,Engineering,455
2009,12,1,11,General,Engineering,455
2012,12,1,11,General,Engineering,2076.77
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,1580.56
2011,12,1,11,General,Engineering,4720
2010,12,1,11,General,Engineering,3107.22
2009,12,1,11,General,Engineering,1827.99
2008,12,1,11,General,Engineering,1061.37
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,75
2009,12,1,11,General,Engineering,75
2008,12,1,11,General,Engineering,105
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,6601
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,6720
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,55
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,246
2008,12,1,11,General,Engineering,345
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,4245.47
2011,12,1,11,General,Engineering,3000
2010,12,1,11,General,Engineering,1000
2009,12,1,11,General,Engineering,3000
2008,12,1,11,General,Engineering,1000
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,643.78
2009,12,1,11,General,Engineering,351.95
2008,12,1,11,General,Engineering,573.55
2012,12,1,11,General,Engineering,36.9
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,625251.35
2011,12,1,11,General,Engineering,328597.41
2010,12,1,11,General,Engineering,328709.88
2009,12,1,11,General,Engineering,238822.57
2008,12,1,11,General,Engineering,230737.41
2010,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,1932615.89
2011,12,1,11,General,Engineering,1819900.3
2010,12,1,11,General,Engineering,2059480.39
2009,12,1,11,General,Engineering,1916651.46
2008,12,1,11,General,Engineering,2081446.67
2012,12,1,11,General,Engineering,43113.59
2011,12,1,11,General,Engineering,53108.29
2010,12,1,11,General,Engineering,23751.31
2009,12,1,11,General,Engineering,1395.86
2012,12,1,11,General,Engineering,132456.59
2011,12,1,11,General,Engineering,136287
2010,12,1,11,General,Engineering,147424.12
2009,12,1,11,General,Engineering,142821.68
2008,12,1,11,General,Engineering,148640.26
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,348445.43
2011,12,1,11,General,Engineering,601471.71
2010,12,1,11,General,Engineering,268113.51
2009,12,1,11,General,Engineering,675819.55
2008,12,1,11,General,Engineering,650996.19
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,0
2009,12,1,11,General,Engineering,0
2008,12,1,11,General,Engineering,0
2012,12,1,11,General,Engineering,0
2011,12,1,11,General,Engineering,0
2010,12,1,11,General,Engineering,15062.93
